,gene1,gene2,ins,mPath,score
0,G:HGNC:6932,G:HGNC:841,2,GTG,0.11764705882352941
1,G:HGNC:6932,G:HGNC:842,2,GTG,0.125
2,G:HGNC:6932,G:HGNC:843,1,GTG,0.06451612903225806
3,G:HGNC:6932,G:HGNC:30889,1,GTG,0.08333333333333333
4,G:HGNC:6932,G:HGNC:848,2,GTG,0.12121212121212122
5,G:HGNC:6932,G:HGNC:1188,1,GTG,0.07692307692307693
6,G:HGNC:6932,G:HGNC:840,2,GTG,0.10526315789473684
7,G:HGNC:6932,G:HGNC:845,1,GTG,0.058823529411764705
8,G:HGNC:6932,G:HGNC:850,3,GTG,0.17142857142857143
9,G:HGNC:6932,G:HGNC:868,5,GDpDpDG,0.006009615384615385
10,G:HGNC:6932,G:HGNC:868,2,GTG,0.08333333333333333
11,G:HGNC:6932,G:HGNC:28091,1,GTG,0.07142857142857142
12,G:HGNC:6932,G:HGNC:18305,17,GDpDpDG,0.025018395879323033
13,G:HGNC:6932,G:HGNC:18305,3,GTG,0.15
14,G:HGNC:6932,G:HGNC:851,49,GDpDpDG,0.0051532839038754795
15,G:HGNC:6932,G:HGNC:851,1,GTG,0.04878048780487805
16,G:HGNC:6932,G:HGNC:854,45,GDpDpDG,0.03598560575769692
17,G:HGNC:6932,G:HGNC:854,3,GTG,0.13333333333333333
18,G:HGNC:6932,G:HGNC:856,2,GTG,0.10256410256410256
19,G:HGNC:6932,G:HGNC:13527,2,GTG,0.09523809523809523
20,G:HGNC:6932,G:HGNC:857,36,GDpDpDG,0.012139605462822459
21,G:HGNC:6932,G:HGNC:857,1,GTG,0.05
22,G:HGNC:6932,G:HGNC:18125,1,GTG,0.06451612903225806
23,G:HGNC:6932,G:HGNC:16832,1,GTG,0.05405405405405406
24,G:HGNC:6932,G:HGNC:864,2,GTG,0.10256410256410256
25,G:HGNC:6932,G:HGNC:18265,1,GTG,0.0625
26,G:HGNC:6932,G:HGNC:18303,2,GTG,0.1
27,G:HGNC:6932,G:HGNC:865,3,GTG,0.12244897959183673
28,G:HGNC:6932,G:HGNC:18481,108,GDpDpDG,0.005011368381977635
29,G:HGNC:6932,G:HGNC:18481,3,GTG,0.13953488372093023
30,G:HGNC:6932,G:HGNC:866,3,GTG,0.13043478260869565
31,G:HGNC:6932,G:HGNC:861,1,GTG,0.058823529411764705
32,G:HGNC:6932,G:HGNC:855,4,GTG,0.17777777777777778
33,G:HGNC:6932,G:HGNC:13724,1,GTG,0.0392156862745098
34,G:HGNC:6932,G:HGNC:18266,1,GTG,0.047619047619047616
35,G:HGNC:6932,G:HGNC:863,1,GTG,0.05555555555555555
36,G:HGNC:6932,G:HGNC:21723,1,GTG,0.05555555555555555
37,G:HGNC:6932,G:HGNC:869,60,GDpDpDG,0.014314684480496243
38,G:HGNC:6932,G:HGNC:869,4,GTG,0.07017543859649122
39,G:HGNC:6932,G:HGNC:870,1,GTG,0.041666666666666664
40,G:HGNC:6932,G:HGNC:13531,3,GTG,0.13636363636363635
41,G:HGNC:6932,G:HGNC:13533,16,GDpDpDG,0.019242333132892364
42,G:HGNC:6932,G:HGNC:13533,2,GTG,0.08163265306122448
43,G:HGNC:6932,G:HGNC:3706,10,GDpDpDG,0.0037957866767887646
44,G:HGNC:6932,G:HGNC:3706,2,GTG,0.08695652173913043
45,G:HGNC:6932,G:HGNC:13534,2,GTG,0.12903225806451613
46,G:HGNC:6932,G:HGNC:13535,2,GTG,0.125
47,G:HGNC:6932,G:HGNC:13536,2,GTG,0.125
48,G:HGNC:6932,G:HGNC:13540,2,GTG,0.11428571428571428
49,G:HGNC:6932,G:HGNC:13541,2,GTG,0.125
50,G:HGNC:6932,G:HGNC:13542,3,GTG,0.1875
51,G:HGNC:6932,G:HGNC:13543,3,GTG,0.1935483870967742
52,G:HGNC:6932,G:HGNC:13549,3,GTG,0.18181818181818182
53,G:HGNC:6932,G:HGNC:13552,3,GTG,0.15384615384615385
